FID,grid_code,Slope_1,Hibriten_D,NLCD_2011_
1294,1662.9399414,51.0494003,1531.3399658,43
1295,1670.2900391,52.0749016,1533.6800537,43
1296,1675.4000244,51.9254990,1536.1899414,43
1297,1678.7800293,51.3614998,1538.8000488,43
1298,1695.2700195,50.9281998,1541.5999756,43
1299,1687.3399658,46.1184998,1544.5000000,43
1300,1631.2800293,53.1717987,1497.5400391,43
1301,1640.1899414,54.0178986,1494.3399658,43
1302,1635.5899658,54.1804008,1489.5000000,43
1303,1635.0400391,54.9224014,1486.0999756,43
1304,1629.7199707,56.0449982,1482.3900146,43
1305,1627.1300049,55.8219986,1478.6800537,43
1306,1595.9899902,60.3764000,1474.2900391,43
1307,1601.5100098,63.1197014,1469.0699463,43
1308,1597.7199707,63.3870010,1463.5400391,43
1309,1599.4499512,55.0824013,1460.9699707,43
1310,1605.4300537,44.7923012,1457.5699463,43
1311,1601.4799805,27.7674999,1456.8399658,43
1312,1610.0200195,36.4227982,1457.6999512,43
1313,1614.2399902,51.6479988,1460.8399658,43
1314,1614.8599854,53.4233017,1465.4200439,43
1315,1597.1400146,47.4104996,1469.0799561,43
1316,1602.9499512,54.1988983,1473.1199951,43
1317,1613.8499756,56.1271019,1475.4599609,43
1318,1618.9599609,55.3618011,1480.2700195,43
1319,1614.8399658,47.9836998,1484.3699951,43
1320,1616.8100586,44.2655983,1487.5500488,43
1321,1622.6800537,46.2971001,1490.8100586,43
1322,1636.9899902,43.1635017,1494.0000000,43
1323,1641.7600098,41.3065987,1495.7900391,43
1324,1626.7700195,41.3532982,1497.9599609,43
1325,1628.1700439,42.8185997,1498.8900146,43
1326,1642.4499512,42.1329002,1500.4200439,43
1327,1651.4399414,43.3531990,1501.8599854,43
1328,1656.4699707,41.5066986,1502.9699707,43
1329,1654.7099609,41.1581993,1503.5999756,43
1330,1641.3000488,42.5791016,1504.4799805,43
1331,1641.0300293,43.9482002,1505.1999512,43
1332,1656.3499756,47.1921997,1505.7099609,43
1333,1660.6400146,49.7690010,1506.0600586,43
1334,1645.2199707,50.8191986,1506.6199951,43
1335,1639.9100342,50.5946999,1506.8900146,43
1336,1637.6899414,49.8420982,1506.8199463,43
1337,1638.3000488,49.3110008,1507.1600342,43
1338,1641.0699463,49.8325005,1507.4699707,43
1339,1640.7099609,51.3899994,1507.5500488,43
1340,1640.7600098,52.3624992,1507.3699951,43
1341,1640.1500244,53.5670013,1507.4799805,43
1342,1646.3599854,57.9542999,1508.3800049,43
1343,1647.9300537,58.9851990,1510.7600098,43
1344,1645.9599609,56.4598999,1510.6800537,43
1345,1652.0100098,50.6917992,1512.3800049,43
1346,1660.5300293,46.5527992,1514.8000488,43
1347,1676.2900391,44.1650009,1516.7600098,43
1348,1671.3800049,45.8135986,1518.0799561,43
1349,1663.0899658,49.9421005,1519.7600098,43
1350,1663.6999512,51.9956017,1520.9499512,43
1351,1656.0200195,51.5392990,1523.6800537,43
1352,1658.0100098,48.2965012,1526.2900391,43
1353,1660.9899902,44.8120995,1528.0999756,43
1354,1678.5799561,47.1716995,1529.1500244,43
1355,1680.1400146,49.9188004,1530.3299561,43
1356,1671.9599609,50.2433014,1531.6300049,43
1357,1683.9000244,50.3014984,1532.7399902,43
1358,1680.7399902,50.6708984,1533.2800293,43
1359,1686.7099609,52.2644997,1534.7700195,43
1360,1688.4799805,52.7956009,1537.1099854,43
1361,1676.5999756,51.9981995,1539.5200195,43
1362,1675.2800293,49.7349014,1541.7900391,43
1363,1695.2299805,46.9287987,1544.0500488,43
1364,1697.7700195,44.8911018,1546.5200195,43
1365,1652.7900391,53.8190994,1497.4200439,43
1366,1645.1999512,54.5176010,1495.8199463,43
1367,1648.6500244,54.5759010,1492.4699707,43
1368,1643.6700439,55.5724983,1489.0899658,43
1369,1631.6300049,56.6370010,1485.3800049,43
1370,1614.7099609,56.8531990,1481.5300293,43
1371,1607.6400146,59.7238007,1477.1700439,43
1372,1597.2600098,61.5273018,1472.4000244,43
1373,1594.8199463,63.0485001,1467.4399414,43
1374,1593.0300293,61.3678017,1464.8599854,43
1375,1594.6800537,56.7010994,1460.2800293,43
1376,1600.3000488,38.0447998,1458.5500488,43
1377,1603.9899902,33.6403008,1459.3100586,43
1378,1602.5699463,47.7406006,1461.5699463,43
1379,1598.5000000,53.0956993,1465.8699951,43
1380,1595.9399414,51.2689018,1469.9000244,43
1381,1599.3900146,53.6358986,1474.0300293,43
1382,1607.6099854,53.2238998,1476.1600342,43
1383,1612.1099854,50.8602982,1480.3800049,43
1384,1617.4300537,49.0298996,1484.2900391,43
1385,1621.7900391,47.1641006,1487.8900146,43
1386,1623.9599609,47.3591995,1491.1400146,43
1387,1625.4599609,45.6809006,1494.4899902,43
1388,1634.5100098,43.7965012,1497.2700195,43
1389,1639.6300049,43.3143005,1499.7600098,43
1390,1640.4399414,43.3861008,1500.9599609,43
1391,1633.5300293,40.8662987,1503.0899658,43
1392,1636.3699951,41.0698013,1504.3299561,43
1393,1656.1500244,39.6282997,1505.4799805,43
1394,1649.4399414,41.1711006,1506.2500000,43
1395,1643.5999756,42.6024017,1507.1899414,43
1396,1642.3399658,42.9345016,1508.1300049,43
1397,1657.2600098,43.5234985,1508.8499756,43
1398,1666.1600342,44.5083008,1509.6700439,43
1399,1654.2500000,45.7500000,1510.0400391,43
1400,1642.6800537,46.6657982,1510.4599609,43
1401,1642.3599854,49.3818016,1510.5999756,43
1402,1651.3299561,51.1952019,1511.0899658,43
1403,1648.6800537,51.7778015,1511.4699707,43
1404,1645.1400146,52.9425011,1511.7900391,43
